frame 0, TPS: 0.399, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 1, TPS: 0.399, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 2, TPS: 0.399, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 3, TPS: 0.399, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 4, TPS: 0.399, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 5, TPS: 0.399, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 6, TPS: 0.399, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 7, TPS: 0.399, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 8, TPS: 0.399, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 9, TPS: 0.399, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 10, TPS: 0.399, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 11, TPS: 0.399, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 12, TPS: 0.399, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 13, TPS: 0.399, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 14, TPS: 0.399, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 15, TPS: 0.399, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 16, TPS: 0.399, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 17, TPS: 0.399, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 18, TPS: 0.399, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
